"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"48","0.86","GOTERM_MF_DIRECT","serine-type peptidase activity","4","1186","147","21154","0.29","9.90e-1","1.00e+0","0.49","1.00e+0","1.00e+0","9.68e-1","ENSDARG00000053323,ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"49","0.86","UP_SEQ_FEATURE","DOMAIN:HMG box","7","1250","52","21277","0.51","8.29e-2","1.00e+0","2.29","1.00e+0","1.00e+0","3.15e-2","ENSDARG00000053569,ENSDARG00000069866,ENSDARG00000002031,ENSDARG00000030297,ENSDARG00000042045,ENSDARG00000032317,ENSDARG00000105301"
"49","0.86","UP_SEQ_FEATURE","DNA_BIND:HMG box","7","1250","60","21277","0.51","1.39e-1","1.00e+0","1.99","1.00e+0","1.00e+0","6.11e-2","ENSDARG00000053569,ENSDARG00000069866,ENSDARG00000002031,ENSDARG00000030297,ENSDARG00000042045,ENSDARG00000032317,ENSDARG00000105301"
"49","0.86","SMART","HMG","7","772","63","13267","0.51","1.58e-1","1.00e+0","1.91","1.00e+0","1.00e+0","7.23e-2","ENSDARG00000053569,ENSDARG00000069866,ENSDARG00000002031,ENSDARG00000030297,ENSDARG00000042045,ENSDARG00000032317,ENSDARG00000105301"
"49","0.86","INTERPRO","HMG_box_dom","7","1340","64","23408","0.51","1.58e-1","1.00e+0","1.91","1.00e+0","1.00e+0","7.24e-2","ENSDARG00000053569,ENSDARG00000069866,ENSDARG00000002031,ENSDARG00000030297,ENSDARG00000042045,ENSDARG00000032317,ENSDARG00000105301"
"49","0.86","INTERPRO","HMG_box_dom_sf","7","1340","67","23408","0.51","1.84e-1","1.00e+0","1.83","1.00e+0","1.00e+0","8.78e-2","ENSDARG00000053569,ENSDARG00000069866,ENSDARG00000002031,ENSDARG00000030297,ENSDARG00000042045,ENSDARG00000032317,ENSDARG00000105301"
"50","0.85","GOTERM_MF_DIRECT","deSUMOylase activity","3","1186","6","21154","0.22","4.04e-2","1.00e+0","8.92","1.00e+0","1.00e+0","3.09e-3","ENSDARG00000056741,ENSDARG00000078574,ENSDARG00000060646"
"50","0.85","GOTERM_BP_DIRECT","protein desumoylation","3","1221","9","20756","0.22","9.44e-2","1.00e+0","5.67","1.00e+0","1.00e+0","1.31e-2","ENSDARG00000056741,ENSDARG00000078574,ENSDARG00000060646"
"50","0.85","UP_SEQ_FEATURE","DOMAIN:Ubiquitin-like protease family profile","3","1250","11","21277","0.22","1.33e-1","1.00e+0","4.64","1.00e+0","1.00e+0","2.34e-2","ENSDARG00000056741,ENSDARG00000078574,ENSDARG00000060646"
"50","0.85","INTERPRO","Peptidase_C48_C","3","1340","13","23408","0.22","1.68e-1","1.00e+0","4.03","1.00e+0","1.00e+0","3.48e-2","ENSDARG00000056741,ENSDARG00000078574,ENSDARG00000060646"
